sample;type;domain_name;domain_accession;domain_len;query_name;query_accession;qlen;sequence_evalue;sequence_score;sequence_bias;domain_N;domain_of;domain_cevalue;domain_ievalue;domain_score;domain_bias;hmm_from;hmm_to;ali_from;ali_to;env_from;env_to;acc;description
GCF_001241395.1_Salmonella_enterica_CVM_N44708_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.6e-42;143.1;11.2;1;2;2;4800;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241395.1_Salmonella_enterica_CVM_N44708_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.6e-42;143.1;11.2;2;2;1.5e-45;3.6e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241395.1_Salmonella_enterica_CVM_N44708_v1.0_protein;colicin;WP_001283335.1;-;626;UniRef50_Q9KJ98;-;490;1.4e-36;124.7;8;1;3;2;4800;-13.8;22.7;148;284;108;268;57;286;0.44;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241395.1_Salmonella_enterica_CVM_N44708_v1.0_protein;colicin;WP_001283335.1;-;626;UniRef50_Q9KJ98;-;490;1.4e-36;124.7;8;2;3;0.0018;4.4;4.3;2.2;94;154;371;442;342;448;0.57;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241395.1_Salmonella_enterica_CVM_N44708_v1.0_protein;colicin;WP_001283335.1;-;626;UniRef50_Q9KJ98;-;490;1.4e-36;124.7;8;3;3;6e-40;1.4e-36;124.7;8;265;490;400;626;394;626;0.93;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241425.1_Salmonella_enterica_CVM_N44709_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241445.1_10425_1_40_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241455.1_Salmonella_enterica_CVM_N44710_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241475.1_Salmonella_enterica_CVM_N44711_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.6e-38;128.4;8.9;1;1;1.6e-41;7.7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2.1e-41;140.5;9.8;1;3;0.021;100;-0.3;1.7;212;237;96;121;64;148;0.56;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2.1e-41;140.5;9.8;2;3;1;5000;-11.8;17.6;116;234;159;273;100;289;0.58;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2.1e-41;140.5;9.8;3;3;4.2e-45;2.1e-41;140.5;9.8;287;521;384;626;338;626;0.8;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;4.1e-15;53.6;7;1;2;0.25;1300;-4.1;0.4;398;433;85;117;68;125;0.5;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;4.1e-15;53.6;7;2;2;8.2e-19;4.1e-15;53.6;7;312;508;443;623;391;625;0.77;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P06716;-;626;0;1356;24;1;1;0;0;1355.8;24;1;626;1;626;1;626;1;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001132019.1;-;448;UniRef50_P06716;-;626;1.9e-06;24.5;0;1;1;1e-09;2.5e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P08083;-;387;9.4e-10;36.1;4.2;1;1;2.9e-13;1.4e-09;35.5;4.2;186;382;438;624;405;626;0.84;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.2e-43;146.6;12;1;2;1;5000;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.2e-43;146.6;12;2;2;6.5e-47;3.2e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.2e-43;146.6;12;1;2;1;5000;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241505.1_Salmonella_enterica_CVM_N44712_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.2e-43;146.6;12;2;2;6.5e-47;3.2e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;Colicin-E1;-;521;0;1111.8;36.6;1;1;0;0;1111.6;36.6;1;521;1;522;1;522;1;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_P05819;-;511;3.8e-10;37.1;4;1;2;0.14;680;-3.3;5.5;345;443;66;171;43;255;0.56;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_P05819;-;511;3.8e-10;37.1;4;2;2;8e-14;3.8e-10;37.1;4;309;478;332;498;303;518;0.84;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_P06716;-;626;2.9e-42;142.8;8.2;1;2;1;4800;-17.9;28.9;96;277;59;239;43;249;0.68;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_P06716;-;626;2.9e-42;142.8;8.2;2;2;6e-46;2.9e-42;142.8;8.2;427;626;318;522;272;522;0.88;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_P08083;-;387;3e-15;54.1;6.4;1;1;1.5e-18;7.3e-15;52.9;6.4;198;382;347;520;280;522;0.79;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_Q47502;-;490;1e-141;471.4;50.2;1;2;2.5e-56;1.2e-52;177.7;30.8;27;227;16;215;9;230;0.9;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_Q47502;-;490;1e-141;471.4;50.2;2;2;3.4e-93;1.6e-89;299.3;11.6;269;490;301;522;227;522;0.95;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_Q9KJ98;-;490;1e-141;471.4;50.2;1;2;2.5e-56;1.2e-52;177.7;30.8;27;227;16;215;9;230;0.9;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241515.1_Salmonella_enterica_CVM_N44713_v1.0_protein;colicin;WP_000447006.1;-;522;UniRef50_Q9KJ98;-;490;1e-141;471.4;50.2;2;2;3.4e-93;1.6e-89;299.3;11.6;269;490;301;522;227;522;0.95;MULTISPECIES: colicin 10 [Enterobacteriaceae]
GCF_001241545.1_10425_1_68_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241555.1_Salmonella_enterica_CVM_N44714_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241555.1_Salmonella_enterica_CVM_N44714_v1.0_protein;colicin;WP_072100952.1;-;173;UniRef50_P06716;-;626;4.2e-07;26.6;0;1;1;1.1e-10;5.1e-07;26.4;0;12;62;118;172;110;173;0.87;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001241585.1_Salmonella_enterica_CVM_N44715_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241605.1_Salmonella_enterica_CVM_N44716_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.6e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241615.1_10425_1_29_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2e-41;140.5;9.8;1;3;0.021;99;-0.3;1.7;212;237;96;121;64;148;0.56;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2e-41;140.5;9.8;2;3;1;4800;-11.8;17.6;116;234;159;273;100;289;0.58;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2e-41;140.5;9.8;3;3;4.2e-45;2e-41;140.5;9.8;287;521;384;626;338;626;0.8;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;3.9e-15;53.6;7;1;2;0.25;1200;-4.1;0.4;398;433;85;117;68;125;0.5;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;3.9e-15;53.6;7;2;2;8.2e-19;3.9e-15;53.6;7;312;508;443;623;391;625;0.77;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P06716;-;626;0;1356;24;1;1;0;0;1355.8;24;1;626;1;626;1;626;1;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001132019.1;-;448;UniRef50_P06716;-;626;1.8e-06;24.5;0;1;1;1e-09;2.4e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P08083;-;387;9e-10;36.1;4.2;1;1;2.9e-13;1.4e-09;35.5;4.2;186;382;438;624;405;626;0.84;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.1e-43;146.6;12;1;2;1;4800;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.1e-43;146.6;12;2;2;6.5e-47;3.1e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.1e-43;146.6;12;1;2;1;4800;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241625.1_Salmonella_enterica_CVM_N45392_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.1e-43;146.6;12;2;2;6.5e-47;3.1e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241665.1_Salmonella_enterica_CVM_N45394_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241675.1_Salmonella_enterica_CVM_N45395_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241705.1_10425_1_81_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241715.1_Salmonella_enterica_CVM_N45396_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.6e-38;128.4;8.9;1;1;1.6e-41;7.7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.5e-39;134.4;10.1;1;2;1;5000;-6.7;11.8;118;233;161;272;154;289;0.49;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.5e-39;134.4;10.1;2;2;3e-43;1.5e-39;134.4;10.1;286;521;383;626;340;626;0.84;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2.1e-15;54.5;7.3;1;2;0.17;820;-3.5;0.6;387;438;73;122;66;126;0.53;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2.1e-15;54.5;7.3;2;2;4.2e-19;2.1e-15;54.5;7.3;311;507;442;622;392;625;0.77;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_P06716;-;626;0;1359.5;25;1;1;0;0;1359.3;25;1;626;1;626;1;626;1;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_072100952.1;-;173;UniRef50_P06716;-;626;4.3e-07;26.6;0;1;1;2.1e-10;5.2e-07;26.4;0;12;62;118;172;110;173;0.87;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_P08083;-;387;6.9e-10;36.5;5.2;1;1;2.1e-13;1.1e-09;35.9;5.2;186;358;438;609;386;625;0.83;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.7e-42;143.1;11.2;1;2;1;5000;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.7e-42;143.1;11.2;2;2;7.5e-46;3.7e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.7e-42;143.1;11.2;1;2;1;5000;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241725.1_Salmonella_enterica_CVM_N45397_v1.0_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.7e-42;143.1;11.2;2;2;7.5e-46;3.7e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001241765.1_Salmonella_enterica_CVM_N45398_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241775.1_Salmonella_enterica_CVM_N45399_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241805.1_10425_1_46_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241815.1_Salmonella_enterica_CVM_N45400_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2e-41;140.5;9.8;1;3;0.021;100;-0.3;1.7;212;237;96;121;64;148;0.56;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2e-41;140.5;9.8;2;3;1;4800;-11.8;17.6;116;234;159;273;100;289;0.58;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;2e-41;140.5;9.8;3;3;4.2e-45;2e-41;140.5;9.8;287;521;384;626;338;626;0.8;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;3.9e-15;53.6;7;1;2;0.25;1200;-4.1;0.4;398;433;85;117;68;125;0.5;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;3.9e-15;53.6;7;2;2;8.2e-19;3.9e-15;53.6;7;312;508;443;623;391;625;0.77;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P06716;-;626;0;1356;24;1;1;0;0;1355.8;24;1;626;1;626;1;626;1;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001132019.1;-;448;UniRef50_P06716;-;626;1.8e-06;24.5;0;1;1;1e-09;2.4e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_P08083;-;387;9.1e-10;36.1;4.2;1;1;2.9e-13;1.4e-09;35.5;4.2;186;382;438;624;405;626;0.84;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.1e-43;146.6;12;1;2;1;4800;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3.1e-43;146.6;12;2;2;6.5e-47;3.1e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.1e-43;146.6;12;1;2;1;4800;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241845.1_Salmonella_enterica_CVM_N45401_v1.0_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3.1e-43;146.6;12;2;2;6.5e-47;3.1e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001241855.1_Salmonella_enterica_CVM_N45402_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241885.1_10425_1_1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241895.1_Salmonella_enterica_CVM_N45403_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.5e-38;128.4;8.9;1;1;1.6e-41;7.6e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241895.1_Salmonella_enterica_CVM_N45403_v1.0_protein;colicin;WP_072100952.1;-;173;UniRef50_P06716;-;626;4.3e-07;26.6;0;1;1;1.1e-10;5.2e-07;26.4;0;12;62;118;172;110;173;0.87;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001241905.1_Salmonella_enterica_CVM_N45404_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.5e-38;128.4;8.9;1;1;1.6e-41;7.6e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241905.1_Salmonella_enterica_CVM_N45404_v1.0_protein;colicin;WP_072100952.1;-;173;UniRef50_P06716;-;626;4.3e-07;26.6;0;1;1;1.1e-10;5.2e-07;26.4;0;12;62;118;172;110;173;0.87;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001241945.1_Salmonella_enterica_CVM_N45405_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241965.1_Salmonella_enterica_CVM_N45406_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.3e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001241975.1_Salmonella_enterica_CVM_N45408_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001242005.1_Salmonella_enterica_CVM_N45411_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001242015.1_Salmonella_enterica_CVM_N45412_v1.0_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001242015.1_Salmonella_enterica_CVM_N45412_v1.0_protein;colicin;WP_001283335.1;-;626;Colicin-E1;-;521;9.5e-39;131.7;7;1;2;1;4800;-13.7;21.7;115;241;158;280;93;291;0.47;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001242015.1_Salmonella_enterica_CVM_N45412_v1.0_protein;colicin;WP_001283335.1;-;626;Colicin-E1;-;521;9.5e-39;131.7;7;2;2;2e-42;9.5e-39;131.7;7;287;521;384;626;340;626;0.82;MULTISPECIES: colicin [Enterobacteriaceae]
